Address,Sold Price,Bedrooms,Bathrooms,Area (SqFt),House Age
"115 E 116th Pl, Los Angeles, CA 90061",1300000,9.0,6.0,3326.0,
"849 S Broadway #1006, Los Angeles, CA 90014",750000,1.0,1.0,1130.0,
"11296 Brookhaven Ave, Los Angeles, CA 90064",3100000,12.0,12.0,6292.0,
"10714 Sutter Ave, Pacoima, CA 91331",1250000,2.0,1.0,4960.0,
"8051 Bobbyboyar Ave, West Hills, CA 91304",1100000,4.0,3.0,2047.0,
"5908 Vista De La Luz, Woodland Hills, CA 91367",2049999,4.0,3.0,3689.0,
"22925 Styles St, Woodland Hills, CA 91367",1150000,4.0,3.0,2362.0,
"22816 Califa St, Woodland Hills, CA 91367",1350000,3.0,2.0,1648.0,
"4701 Deseret Dr, Woodland Hills, CA 91364",1650000,3.0,3.0,2630.0,
"18405 Collins St UNIT C, Tarzana, CA 91356",555000,2.0,3.0,1659.0,
"5834 Balcom Ave, Encino, CA 91316",825000,2.0,1.0,781.0,
"4352 Saltillo St, Woodland Hills, CA 91364",940000,2.0,1.0,1102.0,
"4335 Chaumont Rd, Woodland Hills, CA 91364",2049999,4.0,4.0,2618.0,
"16144 Gilmore St, Van Nuys, CA 91406",645000,3.0,1.0,1085.0,
"15150 Dickens St APT 203, Sherman Oaks, CA 91403",580000,2.0,2.0,1734.0,
"3610 Westfall Dr, Encino, CA 91436",4250000,6.0,8.0,6200.0,
"5663 Case Ave, North Hollywood, CA 91601",3900000,25.0,22.0,9722.0,
"5739 Colfax Ave, North Hollywood, CA 91601",905400,2.0,2.0,1498.0,
"5425 Strohm Ave, North Hollywood, CA 91601",875000,2.0,1.0,926.0,
"11465 Fox Hollow Ln, Pacoima, CA 91331",720000,3.0,3.0,1926.0,
"14906 Chatsworth Dr, Mission Hills, CA 91345",1550000,3.0,1.0,960.0,
"9525 Stanwin Ave, Pacoima, CA 91331",680000,3.0,2.0,1584.0,
"13415 Bryson St, Panorama City, CA 91402",900000,4.0,3.0,2164.0,
"9551 Sepulveda Blvd UNIT 4, North Hills, CA 91343",525000,2.0,2.0,956.0,
"16701 Chatsworth St, Granada Hills, CA 91344",825000,4.0,3.0,1510.0,
"20830 Parthenia St, Winnetka, CA 91306",1340000,4.0,4.0,2935.0,
"3322 W 66th St, Los Angeles, CA 90043",1250000,4.0,3.0,1521.0,
"6129 W 76th St, Los Angeles, CA 90045",1600000,3.0,2.0,1440.0,
"7838 Stewart Ave, Los Angeles, CA 90045",2000000,3.0,3.0,1656.0,
